address,city,submarket,state,zip_code,property_type,property_class,sale_date,sale_price,price_per_unit,price_per_sf,cap_rate,units,total_sf,lot_size_sf,year_built,year_renovated,num_buildings,num_floors,parking_spaces,noi,gross_potential_rent,occupancy_at_sale,inplace_vs_market_rent_pct,buyer,buyer_type,seller,seller_type,broker,financing_type,ltv,lender,interest_rate,deal_type,special_conditions,data_source,notes
1649 Park Drive,Miami,Aventura,FL,44536,multifamily,A,2024-05-15,86857173,1423888.0,1294.44,4.98,61.0,67100,107041,2021,,5,14,166,,,0.94,,Apollo Global Management,Developer,Greystar,Pension Fund,Marcus & Millichap,cash,,,,portfolio,historic building,Public Records,A class multifamily in Aventura
3689 Center Drive,San Francisco,SOMA,CA,75121,retail,B,2024-05-15,63010703,,285.47,7.55,,220728,560850,2020,,1,1,456,,,0.95,,MetLife,Family Office,Boston Properties,Developer,HFF,seller financing,,,,sale-leaseback,,Real Capital Analytics,B class retail in SOMA
9489 Broadway Way,Washington,Downtown DC,DC,43996,office,A,2024-05-15,33136716,,98.31,7.74,,337067,760809,2002,2011.0,1,32,682,,,0.8,,KKR Real Estate,Investment Fund,Lendlease,Private Equity,HFF,bridge loan,,,,distressed,1031 exchange,CBRE Market Report,A class office in Downtown DC
6018 Washington Drive,Dallas,Uptown,TX,39194,office,A,2024-05-14,77818909,,412.62,6.09,,188599,462133,2003,2024.0,1,20,385,4739171.0,7291032.0,0.75,1.0,Nuveen Real Estate,REIT,Nuveen Real Estate,Insurance Company,Marcus & Millichap,assumption,,,,stabilized,,Real Estate Alert,A class office in Uptown
6071 Washington Avenue,Philadelphia,Center City,PA,31231,multifamily,A,2024-05-14,40345988,91074.0,80.17,4.97,443.0,503248,1318830,2001,2017.0,1,25,1046,,,0.9,,Tishman Speyer,Private Equity,Tishman Speyer,Pension Fund,Cushman & Wakefield,seller financing,,,,distressed,historic building,CoStar COMPS,A class multifamily in Center City
9816 Market Street,Atlanta,Sandy Springs,GA,73915,retail,A,2024-05-13,70915814,,395.03,6.58,,179521,269454,1985,,1,2,535,,,0.85,,Apollo Global Management,REIT,Related Companies,Insurance Company,Cushman & Wakefield,assumption,,,,distressed,ground lease,Real Estate Alert,A class retail in Sandy Springs
9914 Center Avenue,Boston,Cambridge,MA,23372,office,A,2024-05-13,38776120,,119.64,8.0,,324118,622405,1986,,1,20,890,,,0.85,,Greystar,Investment Fund,JLL,Pension Fund,Cushman & Wakefield,financed,0.66,JLL Capital Markets,6.28,distressed,LEED certified,Public Records,A class office in Cambridge
322 Market Avenue,Seattle,South Lake Union,WA,79397,multifamily,A,2024-05-12,26377872,54053.0,49.77,5.15,488.0,529968,977185,2004,2021.0,4,26,1331,,,0.89,,AEW Capital Management,Pension Fund,AEW Capital Management,Family Office,Berkadia,financed,0.63,Starwood Property Trust,5.9,distressed,historic building,Real Capital Analytics,A class multifamily in South Lake Union
4806 Washington Drive,Atlanta,Alpharetta,GA,88737,retail,C,2024-05-11,74553231,,323.26,7.09,,230631,456270,2007,,1,1,594,5285824.0,8132036.0,0.84,0.97,Kimco Realty,Investment Fund,Apollo Global Management,Investment Fund,,cash,,,,stabilized,1031 exchange,Public Records,C class retail in Alpharetta
302 Oak Boulevard,Chicago,Schaumburg,IL,38913,office,A,2024-05-09,27340603,,102.93,6.13,,265631,662899,2008,,1,27,785,,,0.86,,Ares Management,Private Equity,Eastdil Secured,Investment Fund,Berkadia,cash,,,,distressed,waterfront property,JLL Research,A class office in Schaumburg
2755 Market Avenue,Phoenix,Chandler,AZ,80362,mixed-use,A,2024-05-09,61609882,402679.0,165.09,6.25,153.0,373190,910302,2017,,1,36,880,3850617.0,5924026.0,0.93,0.89,Boston Properties,Private Equity,Bentall GreenOak,Family Office,JLL,seller financing,,,,stabilized,,CoStar COMPS,A class mixed-use in Chandler
5971 Madison Street,Detroit,Dearborn,MI,35337,industrial,C,2024-05-07,20620936,,88.1,5.76,,234062,650484,2002,,1,3,573,,,0.93,,Nuveen Real Estate,Sovereign Wealth Fund,Tishman Speyer,Investment Fund,Berkadia,seller financing,,,,value-add,,Real Capital Analytics,C class industrial in Dearborn
9704 Oak Drive,Riverside,San Bernardino,CA,91582,multifamily,A,2024-05-07,67022224,638307.0,543.24,4.75,105.0,123375,221384,2004,,2,23,396,3183555.0,4897776.0,0.95,0.86,Lendlease,Individual Investor,Colliers International,Developer,Cushman & Wakefield,seller financing,,,,stabilized,,Real Estate Alert,A class multifamily in San Bernardino
131 Main Way,San Francisco,Financial District,CA,51054,mixed-use,B,2024-05-05,120969214,1080082.0,241.01,5.97,112.0,501924,1291628,2003,,1,6,1345,,,0.9,,Harrison Street,Insurance Company,Greystar,Investment Fund,Cushman & Wakefield,seller financing,,,,sale-leaseback,,Real Estate Alert,B class mixed-use in Financial District
3275 Broadway Boulevard,Seattle,Redmond,WA,77330,office,B,2024-05-05,48636677,,117.46,7.43,,414059,1092347,2023,,1,13,1075,3613705.0,5559546.0,0.94,0.93,RXR Realty,Family Office,PGIM Real Estate,Investment Fund,,financed,0.6,Deutsche Bank,7.29,stabilized,ground lease,Real Estate Alert,B class office in Redmond
2711 Market Drive,Chicago,Schaumburg,IL,51252,industrial,C,2024-05-04,27785402,,101.08,6.54,,274880,560177,1997,,1,1,578,,,0.86,,Nuveen Real Estate,Sovereign Wealth Fund,CBRE,Pension Fund,CBRE,bridge loan,,,,value-add,,Public Records,C class industrial in Schaumburg
7021 Main Avenue,Detroit,Warren,MI,90021,mixed-use,A,2024-05-04,208581836,707057.0,405.6,5.73,295.0,514257,963115,1996,,1,11,1582,,,0.9,,Harrison Street,Insurance Company,HFF,REIT,Newmark,cash,,,,distressed,,JLL Research,A class mixed-use in Warren
9796 Main Drive,Boston,Seaport,MA,75824,office,C,2024-05-02,204588979,,660.65,6.37,,309680,586810,2018,,1,37,692,13032317.0,20049718.0,0.77,0.94,AvalonBay Communities,REIT,Cushman & Wakefield,Pension Fund,,cash,,,,stabilized,master lease in place,CoStar COMPS,C class office in Seaport
7222 Main Boulevard,Houston,The Woodlands,TX,26817,retail,A,2024-05-02,73698335,,328.83,7.03,,224124,565759,2009,,1,1,691,,,0.9,,Nuveen Real Estate,Investment Fund,Bentall GreenOak,Pension Fund,JLL,assumption,,,,sale-leaseback,portfolio acquisition,JLL Research,A class retail in The Woodlands
5009 Washington Boulevard,Miami,West Palm Beach,FL,27790,office,C,2024-05-02,170265952,,412.24,7.13,,413024,1015275,2001,2006.0,1,17,985,12139962.0,18676864.0,0.78,1.01,AvalonBay Communities,Sovereign Wealth Fund,Boston Properties,Family Office,Cushman & Wakefield,seller financing,,,,stabilized,,JLL Research,C class office in West Palm Beach
5351 Oak Way,Seattle,Redmond,WA,31377,multifamily,C,2024-05-01,24381850,151440.0,147.03,4.52,161.0,165830,312288,2020,,5,27,361,,,0.94,,Starwood Capital,Insurance Company,Duke Realty,Developer,Berkadia,bridge loan,,,,distressed,,JLL Research,C class multifamily in Redmond
6329 Park Avenue,Los Angeles,Santa Monica,CA,13711,hotel,Limited Service,2024-04-30,28785546,72691.0,132.89,8.17,396.0,216612,459096,2004,,1,16,534,,,0.64,,Brookfield Asset Management,Private Equity,Colliers International,Developer,Newmark,financed,0.61,JPMorgan Chase,5.79,value-add,LEED certified,JLL Research,Limited Service class hotel in Santa Monica
8525 Center Drive,Detroit,Troy,MI,23629,hotel,Full Service,2024-04-29,16805639,100633.0,169.7,7.54,167.0,99031,290489,2020,,1,40,230,,,0.63,,AvalonBay Communities,Individual Investor,Prologis,Pension Fund,,seller financing,,,,portfolio,,CBRE Market Report,Full Service class hotel in Troy
1476 Park Way,Detroit,Downtown Detroit,MI,50736,retail,A,2024-04-29,21425691,,172.73,7.1,,124045,290207,2009,,1,3,366,,,0.87,,Bentall GreenOak,Developer,JLL,Private Equity,Marcus & Millichap,bridge loan,,,,value-add,master lease in place,CBRE Market Report,A class retail in Downtown Detroit
260 Center Drive,Phoenix,Mesa,AZ,30196,retail,A,2024-04-28,32043679,,161.75,7.55,,198107,325048,1993,2020.0,1,2,515,2419297.0,3721995.0,0.95,1.03,AvalonBay Communities,Sovereign Wealth Fund,Duke Realty,Family Office,,financed,0.58,PGIM,7.64,stabilized,1031 exchange,Real Capital Analytics,A class retail in Mesa
6273 Center Avenue,Los Angeles,Downtown LA,CA,70343,hotel,Limited Service,2024-04-27,102254819,601499.0,1130.64,9.0,170.0,90440,253365,2003,,1,19,198,,,0.72,,KKR Real Estate,Individual Investor,HFF,Individual Investor,Berkadia,assumption,,,,portfolio,,CBRE Market Report,Limited Service class hotel in Downtown LA
1349 Market Way,Riverside,San Bernardino,CA,48883,retail,C,2024-04-27,40544959,,202.92,7.36,,199812,598223,2016,,1,1,612,,,0.9,,Bentall GreenOak,Family Office,Prologis,Individual Investor,JLL,financed,0.55,MetLife,7.16,distressed,master lease in place,Public Records,C class retail in San Bernardino
5665 Oak Drive,Seattle,Bellevue,WA,66621,mixed-use,A,2024-04-26,43867704,148704.0,99.36,6.92,295.0,441510,764633,2011,,1,40,1046,,,0.93,,Tishman Speyer,Private Equity,Carlyle Group,Individual Investor,Newmark,seller financing,,,,portfolio,off-market deal,CoStar COMPS,A class mixed-use in Bellevue
4455 Main Street,Dallas,Downtown Dallas,TX,64256,multifamily,B,2024-04-24,59535555,177718.0,150.61,5.29,335.0,395300,908198,2011,2019.0,2,15,910,,,0.86,,Harrison Street,Private Equity,Related Companies,Private Equity,,bridge loan,,,,value-add,ground lease,Public Records,B class multifamily in Downtown Dallas
4194 Broadway Boulevard,Atlanta,Buckhead,GA,17666,industrial,A,2024-04-23,117319008,,1012.07,6.52,,115920,288506,2007,,1,3,233,,,0.89,,RXR Realty,REIT,LaSalle Investment Management,Pension Fund,Newmark,assumption,,,,portfolio,,JLL Research,A class industrial in Buckhead
9667 Main Avenue,Miami,Miami Beach,FL,69967,hotel,Select Service,2024-04-20,147819722,507972.0,951.26,7.95,291.0,155394,332160,2020,,1,27,348,,,0.75,,SL Green Realty,Sovereign Wealth Fund,Vornado Realty Trust,Insurance Company,CBRE,seller financing,,,,value-add,master lease in place,CoStar COMPS,Select Service class hotel in Miami Beach
7782 Madison Boulevard,New York,Newark,NY,91304,industrial,C,2024-04-20,94183695,,165.03,5.97,,570711,1242934,2010,2022.0,1,1,1448,,,0.91,,LaSalle Investment Management,REIT,Tishman Speyer,Sovereign Wealth Fund,CBRE,bridge loan,,,,development,,Real Estate Alert,C class industrial in Newark
2063 Washington Way,Chicago,Loop,IL,65919,retail,B,2024-04-19,19558414,,368.04,7.44,,53142,107028,2022,,1,3,127,,,0.84,,Duke Realty,REIT,Harrison Street,REIT,Marcus & Millichap,cash,,,,value-add,off-market deal,CoStar COMPS,B class retail in Loop
3188 Market Street,Los Angeles,Long Beach,CA,41094,retail,B,2024-04-19,43220503,,193.08,7.42,,223850,347049,1999,2023.0,1,3,474,,,0.83,,LaSalle Investment Management,REIT,Harrison Street,Pension Fund,Eastdil Secured,cash,,,,value-add,off-market deal,Public Records,B class retail in Long Beach
2122 Oak Drive,Seattle,Bellevue,WA,52174,retail,A,2024-04-19,50416168,,203.26,6.95,,248043,502683,1986,2013.0,1,1,574,,,0.9,,Ares Management,Sovereign Wealth Fund,AvalonBay Communities,Sovereign Wealth Fund,HFF,financed,0.55,Bank of America,6.53,value-add,,CBRE Market Report,A class retail in Bellevue
1429 Park Street,Boston,Cambridge,MA,49941,mixed-use,A,2024-04-16,94472016,583161.0,526.46,5.9,162.0,179447,290545,2017,2024.0,1,23,390,,,0.93,,MetLife,REIT,AvalonBay Communities,Sovereign Wealth Fund,JLL,cash,,,,distressed,,JLL Research,A class mixed-use in Cambridge
474 Park Way,Detroit,Downtown Detroit,MI,10125,multifamily,B,2024-04-16,86573377,181496.0,205.54,5.4,477.0,421191,1044819,1998,2011.0,5,15,1341,4674962.0,7192249.0,0.96,0.98,AvalonBay Communities,REIT,MetLife,REIT,JLL,assumption,,,,stabilized,portfolio acquisition,JLL Research,B class multifamily in Downtown Detroit
5478 Broadway Street,New York,Queens,NY,20157,office,B,2024-04-16,74840585,,155.85,6.05,,480197,1427013,1994,,1,37,1250,,,0.75,,AEW Capital Management,Individual Investor,Tishman Speyer,Family Office,JLL,bridge loan,,,,sale-leaseback,,Real Capital Analytics,B class office in Queens
547 Main Street,Riverside,San Bernardino,CA,43975,retail,C,2024-04-16,14021179,,82.54,6.57,,169866,303318,2006,2022.0,1,1,412,,,0.8,,CBRE Investment Management,Pension Fund,Hines,Private Equity,Marcus & Millichap,bridge loan,,,,sale-leaseback,LEED certified,JLL Research,C class retail in San Bernardino
7523 Center Way,Washington,Alexandria,DC,79306,multifamily,B,2024-04-16,98316111,265003.0,282.82,4.51,371.0,347627,550398,2023,,1,38,765,,,0.98,,Equity Residential,REIT,Carlyle Group,Insurance Company,CBRE,assumption,,,,sale-leaseback,historic building,CBRE Market Report,B class multifamily in Alexandria
2918 Madison Street,Boston,Cambridge,MA,74517,retail,A,2024-04-14,53202156,,394.75,7.98,,134775,263990,2020,,1,3,417,,,0.94,,Kimco Realty,Insurance Company,MetLife,Family Office,,cash,,,,sale-leaseback,,Public Records,A class retail in Cambridge
3710 Oak Boulevard,Dallas,Arlington,TX,79339,retail,C,2024-04-14,25605267,,650.89,7.02,,39339,64496,2015,2022.0,1,3,80,,,0.87,,Carlyle Group,Insurance Company,MetLife,Individual Investor,Eastdil Secured,financed,0.68,Starwood Property Trust,6.63,portfolio,off-market deal,Real Estate Alert,C class retail in Arlington
8183 Oak Way,Chicago,Loop,IL,69781,hotel,Select Service,2024-04-12,80118145,396624.0,836.76,7.93,202.0,95748,193376,2009,2022.0,1,3,248,6353368.0,9774412.0,0.75,0.99,AEW Capital Management,Pension Fund,Apollo Global Management,Individual Investor,Berkadia,seller financing,,,,stabilized,,Real Capital Analytics,Select Service class hotel in Loop
2466 Park Avenue,Miami,Miami Beach,FL,35546,retail,B,2024-04-12,68212652,,309.75,8.26,,220218,472215,1995,,1,3,608,,,0.81,,Boston Properties,Investment Fund,HFF,Developer,Marcus & Millichap,assumption,,,,sale-leaseback,1031 exchange,Real Capital Analytics,B class retail in Miami Beach
9996 Broadway Street,Washington,Alexandria,DC,86329,mixed-use,B,2024-04-10,133316470,486556.0,231.99,5.87,274.0,574676,1427323,2000,2010.0,1,32,1204,7825676.0,12039501.0,0.93,0.95,Carlyle Group,REIT,HFF,Individual Investor,Berkadia,seller financing,,,,stabilized,ground lease,CBRE Market Report,B class mixed-use in Alexandria
8941 Center Drive,Detroit,Downtown Detroit,MI,75860,office,A,2024-04-09,128779620,,662.38,7.87,,194421,550630,1992,,1,12,635,10134956.0,15592240.0,0.84,1.0,Duke Realty,Family Office,Prologis,REIT,Cushman & Wakefield,assumption,,,,stabilized,ground lease,CoStar COMPS,A class office in Downtown Detroit
4609 Oak Avenue,Riverside,Moreno Valley,CA,15602,retail,C,2024-04-08,23087728,,207.74,8.46,,111137,199653,1986,2004.0,1,2,266,,,0.9,,Harrison Street,Family Office,Kimco Realty,Family Office,CBRE,financed,0.68,Wells Fargo,7.59,sale-leaseback,waterfront property,Real Capital Analytics,C class retail in Moreno Valley
7092 Center Boulevard,New York,Brooklyn,NY,21770,industrial,B,2024-04-07,63516659,,139.48,6.12,,455395,1191715,2019,2024.0,1,2,1367,3887219.0,5980336.0,0.86,0.91,Simon Property Group,Sovereign Wealth Fund,Duke Realty,Sovereign Wealth Fund,Marcus & Millichap,financed,0.71,Barclays,5.59,stabilized,waterfront property,JLL Research,B class industrial in Brooklyn
9164 Washington Way,Chicago,Schaumburg,IL,60609,multifamily,C,2024-04-06,76951647,219235.0,207.22,4.5,351.0,371358,628550,1993,2024.0,4,23,865,,,0.95,,Apollo Global Management,Pension Fund,Cushman & Wakefield,Investment Fund,Berkadia,bridge loan,,,,sale-leaseback,,CBRE Market Report,C class multifamily in Schaumburg
536 Washington Street,Los Angeles,Long Beach,CA,63213,retail,A,2024-04-05,39801436,,156.48,8.13,,254361,524586,1990,,1,1,667,,,0.96,,Vornado Realty Trust,Individual Investor,Cushman & Wakefield,REIT,Eastdil Secured,seller financing,,,,value-add,,Real Capital Analytics,A class retail in Long Beach
5008 Washington Avenue,Riverside,San Bernardino,CA,66552,mixed-use,A,2024-04-05,129609500,1117323.0,611.94,6.23,116.0,211801,328862,2018,2024.0,1,14,445,,,0.93,,MetLife,Pension Fund,Equity Residential,Individual Investor,Eastdil Secured,seller financing,,,,distressed,historic building,CBRE Market Report,A class mixed-use in San Bernardino
810 Broadway Drive,New York,Queens,NY,27819,industrial,C,2024-04-04,70667140,,97.81,6.26,,722503,1200758,1996,,1,3,1749,,,0.98,,Hines,REIT,Brookfield Asset Management,Individual Investor,CBRE,seller financing,,,,distressed,waterfront property,Real Capital Analytics,C class industrial in Queens
428 Oak Drive,Riverside,Corona,CA,19961,office,A,2024-04-04,89940572,,242.88,6.63,,370313,625891,2008,2024.0,1,6,1034,,,0.85,,Duke Realty,Insurance Company,AEW Capital Management,Sovereign Wealth Fund,,financed,0.72,Goldman Sachs,6.12,distressed,,Public Records,A class office in Corona
6578 Center Way,Washington,Georgetown,DC,52894,mixed-use,B,2024-04-04,376751963,2598289.0,661.75,6.75,145.0,569331,1342478,2014,,1,22,1285,,,0.89,,Brookfield Asset Management,Developer,Bentall GreenOak,Sovereign Wealth Fund,CBRE,financed,0.72,MetLife,8.18,sale-leaseback,ground lease,Public Records,B class mixed-use in Georgetown
1470 Market Way,Phoenix,Tempe,AZ,80991,office,B,2024-04-02,187555295,,543.24,6.62,,345254,837148,1986,2016.0,1,33,797,,,0.74,,AvalonBay Communities,Sovereign Wealth Fund,Carlyle Group,Private Equity,,cash,,,,portfolio,master lease in place,Public Records,B class office in Tempe
8840 Market Drive,Houston,The Woodlands,TX,12251,mixed-use,B,2024-04-01,126379432,487951.0,389.77,6.93,259.0,324237,637316,2021,,1,32,771,,,0.92,,RXR Realty,Private Equity,Prologis,REIT,,seller financing,,,,sale-leaseback,LEED certified,CoStar COMPS,B class mixed-use in The Woodlands
5149 Main Drive,Los Angeles,Downtown LA,CA,65096,hotel,Select Service,2024-04-01,137620906,824077.0,1551.93,8.13,167.0,88677,141496,2016,,1,6,279,,,0.74,,Prologis,Family Office,Blackstone,Insurance Company,Marcus & Millichap,financed,0.51,Bank of America,7.54,portfolio,portfolio acquisition,CBRE Market Report,Select Service class hotel in Downtown LA
5173 Center Drive,Dallas,Uptown,TX,90488,hotel,Limited Service,2024-03-31,131763349,350434.0,787.49,8.05,376.0,167320,316186,2019,,1,22,554,,,0.76,,Tishman Speyer,Private Equity,KKR Real Estate,REIT,,assumption,,,,distressed,,Real Capital Analytics,Limited Service class hotel in Uptown
3930 Center Boulevard,Seattle,Tacoma,WA,85414,retail,A,2024-03-31,13193443,,111.93,7.31,,117876,315601,1995,2010.0,1,3,301,964440.0,1483753.0,0.91,0.96,MetLife,Pension Fund,AvalonBay Communities,REIT,Cushman & Wakefield,financed,0.67,Wells Fargo,8.22,stabilized,ground lease,Real Capital Analytics,A class retail in Tacoma
6771 Madison Way,Chicago,O'Hare,IL,69000,retail,B,2024-03-29,35224301,,144.65,7.38,,243508,550375,1990,2017.0,1,1,487,,,0.96,,Greystar,REIT,PGIM Real Estate,Investment Fund,Berkadia,cash,,,,portfolio,off-market deal,JLL Research,B class retail in O'Hare
2367 Broadway Street,Los Angeles,Anaheim,CA,69494,hotel,Select Service,2024-03-27,127383408,431808.0,817.82,8.93,295.0,155760,262769,2023,,1,8,314,,,0.8,,Hines,Individual Investor,CBRE,Pension Fund,Cushman & Wakefield,financed,0.68,Wells Fargo,7.21,portfolio,1031 exchange,CoStar COMPS,Select Service class hotel in Anaheim
8389 Madison Boulevard,Philadelphia,Camden,PA,12879,office,C,2024-03-27,99193548,,201.23,6.75,,492937,1154064,2019,,1,12,1512,,,0.87,,Bentall GreenOak,REIT,CBRE Investment Management,Developer,Berkadia,cash,,,,sale-leaseback,waterfront property,Real Estate Alert,C class office in Camden
9725 Washington Street,Riverside,San Bernardino,CA,97042,hotel,Full Service,2024-03-27,40999635,196171.0,431.14,7.07,209.0,95095,229907,2013,,1,8,261,2898674.0,4459498.0,0.6,1.03,Prologis,Family Office,Bentall GreenOak,Individual Investor,Eastdil Secured,assumption,,,,stabilized,LEED certified,JLL Research,Full Service class hotel in San Bernardino
4458 Center Drive,Washington,Alexandria,DC,85191,office,A,2024-03-25,106622409,,596.94,6.57,,178616,304895,2010,,1,30,441,,,0.74,,Simon Property Group,Pension Fund,Apollo Global Management,Pension Fund,Colliers,seller financing,,,,portfolio,master lease in place,CBRE Market Report,A class office in Alexandria
1891 Park Avenue,Los Angeles,Anaheim,CA,93484,multifamily,B,2024-03-24,25446483,302934.0,317.87,4.52,84.0,80052,235168,1987,,2,28,173,,,0.89,,Ares Management,Insurance Company,Simon Property Group,Sovereign Wealth Fund,Newmark,assumption,,,,value-add,,CoStar COMPS,B class multifamily in Anaheim
158 Park Way,Philadelphia,King of Prussia,PA,54141,office,B,2024-03-24,122602072,,355.46,7.21,,344911,789021,2004,,1,22,968,,,0.75,,Boston Properties,Insurance Company,Blackstone,Sovereign Wealth Fund,JLL,bridge loan,,,,distressed,historic building,Real Estate Alert,B class office in King of Prussia
7599 Madison Street,Washington,Downtown DC,DC,61574,industrial,B,2024-03-22,57851319,,405.2,6.98,,142773,374765,2018,2023.0,1,2,321,,,0.93,,Greystar,Private Equity,Duke Realty,Investment Fund,,financed,0.55,CBRE Capital Markets,8.47,development,portfolio acquisition,Public Records,B class industrial in Downtown DC
5191 Center Drive,Detroit,Dearborn,MI,67162,hotel,Select Service,2024-03-21,131985242,425759.0,1033.4,7.52,310.0,127720,197171,2010,,1,31,255,,,0.6,,Greystar,Sovereign Wealth Fund,PGIM Real Estate,Sovereign Wealth Fund,Eastdil Secured,assumption,,,,distressed,historic building,Real Estate Alert,Select Service class hotel in Dearborn
7578 Main Boulevard,Riverside,Riverside,CA,52281,office,B,2024-03-21,161867261,,379.06,6.58,,427019,1235610,2017,,1,39,1189,,,0.95,,Kimco Realty,Investment Fund,Brookfield Asset Management,Private Equity,Berkadia,financed,0.62,Principal Financial,6.51,portfolio,,Real Estate Alert,B class office in Riverside
2431 Main Avenue,San Francisco,Financial District,CA,55782,office,B,2024-03-21,189233755,,526.3,7.59,,359555,790232,1988,,1,16,860,,,0.8,,Bentall GreenOak,Developer,Bentall GreenOak,Sovereign Wealth Fund,HFF,seller financing,,,,distressed,off-market deal,CoStar COMPS,B class office in Financial District
246 Main Way,Dallas,Fort Worth,TX,53961,mixed-use,A,2024-03-20,333906737,1804901.0,589.43,5.74,185.0,566489,1432603,2003,,1,24,1146,,,0.94,,LaSalle Investment Management,Pension Fund,CBRE,Family Office,CBRE,financed,0.56,JLL Capital Markets,5.98,development,1031 exchange,Public Records,A class mixed-use in Fort Worth
5018 Park Way,Miami,Miami Beach,FL,82373,hotel,Select Service,2024-03-19,129728584,1179351.0,1982.1,8.71,110.0,65450,125980,2014,,1,38,143,,,0.79,,PGIM Real Estate,Developer,Simon Property Group,Insurance Company,Cushman & Wakefield,seller financing,,,,distressed,off-market deal,CBRE Market Report,Select Service class hotel in Miami Beach
684 Broadway Avenue,Philadelphia,Center City,PA,17346,hotel,Limited Service,2024-03-19,44818560,358548.0,634.6,7.44,125.0,70625,180042,2005,,1,28,176,,,0.61,,CBRE Investment Management,Private Equity,HFF,Insurance Company,Newmark,cash,,,,development,historic building,CBRE Market Report,Limited Service class hotel in Center City
6852 Main Drive,Boston,Back Bay,MA,28625,mixed-use,A,2024-03-18,358508531,919253.0,1464.75,7.39,390.0,244758,721640,1995,,1,20,591,,,0.86,,Greystar,Individual Investor,Ares Management,Sovereign Wealth Fund,JLL,assumption,,,,sale-leaseback,off-market deal,Real Capital Analytics,A class mixed-use in Back Bay
5370 Oak Way,Boston,Cambridge,MA,83080,retail,B,2024-03-17,57925684,,391.25,6.65,,148053,245355,2005,,1,3,413,,,0.92,,RXR Realty,Private Equity,Prologis,Sovereign Wealth Fund,,seller financing,,,,portfolio,,Public Records,B class retail in Cambridge
4566 Center Street,Philadelphia,University City,PA,37604,retail,A,2024-03-17,67827496,,290.98,7.52,,233104,557368,2017,2022.0,1,3,512,,,0.81,,Brookfield Asset Management,Investment Fund,AEW Capital Management,Investment Fund,Berkadia,assumption,,,,value-add,,CBRE Market Report,A class retail in University City
8149 Park Way,Washington,Arlington,DC,53688,retail,B,2024-03-16,52011533,,318.53,7.37,,163285,253711,2018,2023.0,1,2,478,,,0.83,,Greystar,REIT,Bentall GreenOak,Pension Fund,HFF,cash,,,,value-add,,Public Records,B class retail in Arlington
5920 Main Way,Washington,Downtown DC,DC,66392,retail,C,2024-03-16,40077607,,278.61,7.47,,143850,310247,1992,,1,2,291,,,0.98,,Prologis,Insurance Company,Duke Realty,Pension Fund,Cushman & Wakefield,financed,0.68,JPMorgan Chase,7.12,portfolio,master lease in place,Real Capital Analytics,C class retail in Downtown DC
7539 Center Way,Miami,Aventura,FL,63398,industrial,C,2024-03-14,97365194,,472.2,6.91,,206197,492672,2011,,1,1,462,6727934.0,10350667.0,0.96,0.94,Boston Properties,Private Equity,Boston Properties,Sovereign Wealth Fund,Eastdil Secured,bridge loan,,,,stabilized,waterfront property,CoStar COMPS,C class industrial in Aventura
7088 Main Street,Riverside,Corona,CA,15301,industrial,C,2024-03-14,103105003,,693.8,5.64,,148610,420092,2023,,1,1,300,,,0.95,,Boston Properties,Insurance Company,Starwood Capital,Family Office,JLL,assumption,,,,value-add,,Real Capital Analytics,C class industrial in Corona
5066 Broadway Way,Miami,West Palm Beach,FL,14282,multifamily,B,2024-03-12,42873271,319950.0,273.7,4.92,134.0,156646,323720,1997,,4,31,383,,,0.93,,KKR Real Estate,Developer,Vornado Realty Trust,Private Equity,Berkadia,financed,0.74,Wells Fargo,6.79,distressed,master lease in place,JLL Research,B class multifamily in West Palm Beach
2088 Madison Avenue,New York,Brooklyn,NY,66133,multifamily,A,2024-03-11,72350830,156943.0,135.76,4.55,461.0,532916,1403101,2018,,4,35,1302,,,0.88,,LaSalle Investment Management,Insurance Company,Nuveen Real Estate,Investment Fund,Cushman & Wakefield,bridge loan,,,,portfolio,portfolio acquisition,JLL Research,A class multifamily in Brooklyn
7984 Park Drive,Seattle,Redmond,WA,90181,hotel,Limited Service,2024-03-11,31353321,86373.0,144.44,7.61,363.0,217074,337472,1999,2011.0,1,8,446,,,0.85,,Starwood Capital,Sovereign Wealth Fund,Tishman Speyer,Pension Fund,Marcus & Millichap,cash,,,,sale-leaseback,,JLL Research,Limited Service class hotel in Redmond
8348 Main Street,Washington,Alexandria,DC,53354,hotel,Full Service,2024-03-11,110417433,327648.0,575.83,7.51,337.0,191753,539810,2006,2017.0,1,22,504,,,0.62,,PGIM Real Estate,Pension Fund,Nuveen Real Estate,Insurance Company,CBRE,seller financing,,,,value-add,portfolio acquisition,JLL Research,Full Service class hotel in Alexandria
7409 Market Boulevard,Washington,Alexandria,DC,82423,office,A,2024-03-11,129054663,,1312.01,7.78,,98364,205794,1983,,1,19,219,,,0.82,,Lendlease,Investment Fund,Eastdil Secured,Individual Investor,Cushman & Wakefield,bridge loan,,,,portfolio,master lease in place,CBRE Market Report,A class office in Alexandria
4641 Broadway Drive,San Francisco,Financial District,CA,72149,mixed-use,A,2024-03-09,79824621,204679.0,440.06,6.18,390.0,181394,344667,1995,,1,38,465,,,0.92,,SL Green Realty,Family Office,KKR Real Estate,Investment Fund,,bridge loan,,,,portfolio,,CoStar COMPS,A class mixed-use in Financial District
